,source,device,OS,test,price,booked,state,date_month,date_month_day
108922,Unknown,mobile,android,0,199,0,NY,June,Sat
158962,Google,mobile,other,1,299,0,PA,April,Sat
219170,Facebook,mobile,iOS,0,199,0,NJ,April,Sat
44905,Adwords,mobile,other,0,199,0,NJ,July,Sat
157438,Google,desktop,windows,0,199,0,PA,April,Sat
172637,Facebook,mobile,iOS,0,199,0,NY,April,Sat
52132,Facebook,mobile,android,0,199,0,PA,May,Sat
37454,Adwords,mobile,android,0,199,0,NJ,June,Sat
182248,Facebook,desktop,windows,0,199,0,NY,June,Sat
172554,Unknown,mobile,android,0,199,0,NY,May,Sat
220919,Google,mobile,iOS,0,199,0,NJ,June,Sat
200808,Adwords,mobile,iOS,0,199,0,NY,June,Sat
171451,Facebook,mobile,android,0,199,0,NJ,May,Sat
141386,Facebook,desktop,windows,1,299,0,NY,June,Sat
197785,Facebook,mobile,iOS,1,299,0,NJ,June,Sat
221212,Google,mobile,iOS,0,199,0,PA,May,Sat
19861,Unknown,desktop,windows,1,299,0,NJ,June,Sat
92763,Adwords,desktop,windows,0,199,0,PA,April,Sat
175278,Facebook,mobile,iOS,0,199,0,NY,April,Sat
200415,Google,mobile,iOS,1,299,0,NY,April,Sat
189817,Google,desktop,windows,1,299,0,PA,April,Sat
90962,Facebook,mobile,android,1,299,0,NJ,June,Sat
23371,Unknown,desktop,linux,1,299,0,NY,May,Sat
171691,Unknown,desktop,linux,1,299,0,PA,May,Sat
12399,Adwords,desktop,windows,1,299,0,NY,May,Sat
160463,Adwords,mobile,android,1,299,0,NY,June,Sat
196617,Google,desktop,windows,1,299,0,NY,May,Sat
162093,Unknown,mobile,iOS,1,299,0,NY,April,Sat
15945,Google,desktop,windows,0,199,0,NY,April,Sat
37347,Unknown,desktop,windows,0,199,0,NY,April,Sat
97186,Adwords,mobile,iOS,1,299,0,PA,June,Sat
13157,Adwords,desktop,windows,1,299,0,PA,May,Sat
171602,Google,desktop,windows,0,199,0,NY,May,Sat
218311,Google,desktop,windows,0,199,0,NJ,April,Sat
18148,Facebook,desktop,windows,1,299,0,PA,May,Sat
230351,Adwords,mobile,iOS,0,199,0,NJ,May,Fri
18139,Google,mobile,iOS,0,199,0,PA,April,Tue
90392,Facebook,mobile,iOS,0,199,0,NJ,June,Fri
23877,Bing,mobile,iOS,0,199,0,NY,April,Thu
54250,Unknown,mobile,iOS,0,199,0,PA,May,Mon
148576,Google,mobile,android,0,199,0,NY,May,Thu
30434,Facebook,mobile,iOS,0,199,0,NY,June,Thu
76390,Adwords,mobile,android,0,199,0,NY,June,Thu
74688,Google,mobile,android,0,199,0,NJ,April,Wed
142965,Adwords,mobile,iOS,0,199,0,NY,June,Fri
29249,Bing,mobile,iOS,0,199,0,PA,June,Wed
36005,Facebook,mobile,iOS,0,199,0,PA,May,Wed
110092,Google,mobile,iOS,0,199,0,PA,June,Thu
142339,Bing,mobile,android,0,199,0,NY,June,Sun
231733,Unknown,mobile,iOS,0,199,0,NY,June,Mon
144526,Google,mobile,iOS,0,199,0,NJ,April,Wed
227812,Bing,mobile,iOS,0,199,0,NY,,
101734,Other,mobile,other,0,199,0,PA,May,Mon
221888,Unknown,mobile,android,0,199,0,PA,May,Wed
1410,Facebook,mobile,iOS,0,199,0,NY,April,Tue
74958,Google,mobile,android,0,199,0,PA,May,Wed
80533,Facebook,mobile,iOS,0,199,0,NY,June,Wed
218255,Unknown,mobile,iOS,0,199,0,PA,May,Wed
179745,Facebook,mobile,other,0,199,0,NY,June,Mon
43015,Adwords,mobile,android,0,199,0,PA,April,Wed
106649,Facebook,mobile,android,0,199,0,NY,April,Tue
38970,Google,mobile,android,0,199,0,NJ,May,Tue
691,Facebook,mobile,iOS,0,199,0,NY,May,Thu
123266,Adwords,mobile,other,0,199,0,NJ,May,Mon
153133,Google,mobile,iOS,0,199,0,PA,April,Wed
217243,Google,mobile,other,0,199,0,NY,June,Sun
99118,Adwords,mobile,android,0,199,0,NY,June,Wed
33712,Facebook,mobile,android,0,199,0,PA,April,Tue
156087,Adwords,mobile,iOS,0,199,0,NJ,May,Mon
102652,Google,mobile,iOS,0,199,0,PA,June,Wed
149566,Adwords,mobile,android,0,199,0,NY,June,Mon
146059,Unknown,mobile,android,0,199,0,NJ,May,Tue
93532,Unknown,mobile,other,0,199,0,NY,May,Mon
3296,Bing,mobile,other,0,199,0,PA,May,Tue
162270,Adwords,mobile,iOS,0,199,0,PA,May,Sun
185151,Google,mobile,android,0,199,0,NY,June,Wed
94635,Google,mobile,iOS,0,199,0,NY,May,Wed
142706,Other,mobile,iOS,0,199,0,NY,April,Fri
115042,Google,mobile,iOS,0,199,0,NY,June,Sun
164228,Unknown,mobile,iOS,0,199,0,NJ,May,Wed
220535,Google,mobile,iOS,0,199,0,PA,May,Mon
132511,Bing,mobile,iOS,0,199,0,PA,May,Fri
170825,Facebook,mobile,android,0,199,0,PA,May,Tue
164203,Google,mobile,iOS,0,199,0,NJ,May,Sun
209670,Google,mobile,iOS,0,199,0,NY,June,Thu
160298,Facebook,mobile,iOS,0,199,0,NJ,April,Sun
142589,Facebook,mobile,iOS,0,199,0,NY,May,Thu
63774,Facebook,mobile,iOS,0,199,0,NY,April,Mon
96466,Unknown,mobile,iOS,0,199,0,NJ,June,Thu
173000,Google,mobile,android,0,199,0,PA,June,Tue
80387,Facebook,mobile,android,0,199,0,PA,April,Mon
41725,Facebook,mobile,android,0,199,0,NY,June,Fri
49205,Google,mobile,android,0,199,0,NY,,
176470,Facebook,mobile,iOS,0,199,0,NJ,May,Sun
97461,Adwords,mobile,iOS,0,199,0,NY,June,Sun
19685,Bing,mobile,iOS,0,199,0,NY,May,Tue
134389,Facebook,mobile,iOS,0,199,0,NJ,April,Wed
57864,Google,mobile,iOS,0,199,0,NY,June,Wed
121875,Adwords,mobile,iOS,0,199,0,PA,June,Mon
66325,Facebook,mobile,android,0,199,0,NJ,May,Wed
4648,Google,mobile,android,0,199,0,PA,April,Thu
143986,Unknown,mobile,iOS,0,199,0,NJ,June,Fri
22998,Adwords,mobile,other,0,199,0,PA,April,Fri
9687,Google,mobile,android,0,199,0,PA,May,Sun
68677,Google,mobile,other,0,199,0,NJ,June,Wed
190178,Facebook,mobile,iOS,0,199,0,NY,April,Sun
191922,Adwords,mobile,android,0,199,0,NY,April,Thu
47633,Google,mobile,android,0,199,0,PA,April,Wed
32562,Unknown,mobile,iOS,0,199,0,NJ,May,Tue
124171,Google,mobile,iOS,0,199,0,NJ,May,Wed
21631,Google,mobile,iOS,0,199,0,NY,April,Thu
182984,Adwords,mobile,android,0,199,0,NY,June,Wed
200128,Google,mobile,iOS,0,199,0,NY,April,Thu
112372,Google,mobile,iOS,0,199,0,NY,June,Wed
80750,Adwords,mobile,android,0,199,0,PA,May,Wed
25658,Google,mobile,android,0,199,0,NY,June,Thu
34667,Facebook,mobile,iOS,0,199,0,NY,June,Thu
151770,Facebook,mobile,iOS,0,199,0,NJ,May,Sun
136639,Facebook,mobile,iOS,0,199,0,NJ,May,Tue
28944,Google,mobile,iOS,0,199,0,NY,May,Tue
78558,Google,mobile,android,0,199,0,NY,April,Tue
141836,Facebook,mobile,iOS,0,199,0,PA,April,Fri
176485,Adwords,mobile,iOS,0,199,0,NY,June,Wed
5697,Google,mobile,android,0,199,0,PA,May,Tue
53751,Google,mobile,iOS,0,199,0,PA,April,Sun
74968,Adwords,mobile,iOS,0,199,0,PA,May,Wed
51705,Google,mobile,android,0,199,0,NJ,June,Fri
177656,Google,mobile,iOS,0,199,0,PA,June,Thu
96559,Facebook,mobile,iOS,0,199,0,NY,April,Wed
221807,Google,mobile,android,0,199,0,PA,June,Wed
1100,Google,mobile,iOS,0,199,0,PA,June,Wed
203730,Google,mobile,other,0,199,0,PA,June,Thu
150044,Unknown,mobile,iOS,0,199,0,NJ,May,Tue
214651,Facebook,mobile,iOS,0,199,0,NY,April,Tue
24827,Google,mobile,iOS,0,199,0,NJ,June,Mon
17824,Adwords,mobile,android,1,299,0,PA,May,Tue
73997,Unknown,mobile,iOS,1,299,0,NY,April,Wed
204810,Unknown,mobile,android,1,299,0,NY,,
103683,Adwords,desktop,linux,1,299,0,PA,June,Fri
94694,Facebook,mobile,iOS,1,299,0,NJ,May,Mon
97535,Google,mobile,android,1,299,0,PA,May,Wed
48442,Google,mobile,iOS,1,299,0,NY,April,Tue
157523,Unknown,mobile,android,1,299,0,PA,May,Tue
228975,Adwords,mobile,iOS,1,299,0,NY,April,Wed
79498,Adwords,mobile,iOS,1,299,0,NY,June,Mon
91383,Facebook,mobile,android,1,299,0,NJ,May,Mon
26347,Unknown,mobile,android,1,299,0,PA,May,Tue
59503,Unknown,mobile,iOS,1,299,0,NJ,May,Wed
74464,Google,mobile,android,1,299,0,NY,May,Tue
178411,Adwords,mobile,android,1,299,0,NJ,May,Mon
70415,Google,desktop,linux,1,299,0,PA,May,Sun
70967,Facebook,mobile,android,1,299,0,PA,April,Sun
96860,Unknown,mobile,android,1,299,0,NY,April,Thu
118217,Adwords,mobile,iOS,1,299,0,NJ,June,Thu
92869,Facebook,mobile,iOS,1,299,0,PA,May,Mon
65490,Google,mobile,iOS,1,299,0,PA,June,Tue
35134,Facebook,mobile,other,1,299,0,NY,June,Wed
96384,Unknown,mobile,iOS,1,299,0,PA,June,Fri
183366,Google,mobile,iOS,1,299,0,NY,April,Sun
110412,Facebook,mobile,android,1,299,0,NJ,June,Tue
215899,Google,mobile,iOS,1,299,0,NY,April,Wed
200707,Facebook,mobile,android,1,299,0,NY,June,Mon
96846,Adwords,mobile,iOS,1,299,0,NJ,May,Wed
194981,Google,mobile,iOS,1,299,0,NY,June,Thu
18086,Adwords,mobile,android,1,299,0,NY,April,Mon
201623,Facebook,mobile,android,1,299,0,NY,April,Mon
16302,Facebook,mobile,iOS,1,299,0,NJ,June,Fri
51194,Bing,mobile,android,1,299,0,NY,April,Wed
35169,Bing,mobile,iOS,1,299,0,NY,June,Tue
43670,Google,mobile,android,1,299,0,NJ,June,Fri
15129,Bing,mobile,iOS,1,299,0,NJ,April,Mon
109698,Bing,desktop,linux,1,299,0,PA,June,Tue
177974,Facebook,mobile,other,1,299,0,PA,June,Fri
122805,Google,mobile,iOS,1,299,0,PA,April,Tue
143110,Google,mobile,android,1,299,0,NJ,June,Thu
183091,Facebook,mobile,android,1,299,0,NJ,June,Thu
25804,Bing,mobile,iOS,1,299,0,NJ,April,Tue
61616,Google,mobile,android,1,299,0,NY,June,Fri
30461,Facebook,mobile,android,1,299,0,NJ,May,Wed
202033,Unknown,mobile,iOS,1,299,0,NY,April,Thu
3071,Google,desktop,linux,1,299,0,PA,June,Thu
90466,Bing,mobile,iOS,1,299,0,NY,June,Thu
202496,Facebook,mobile,iOS,1,299,0,PA,April,Mon
34776,Unknown,mobile,iOS,1,299,0,NY,May,Thu
224496,Google,mobile,android,1,299,0,PA,April,Wed
23144,Bing,mobile,iOS,1,299,0,NY,,
229178,Google,mobile,iOS,1,299,0,NJ,May,Tue
227181,Google,mobile,iOS,1,299,0,NY,April,Tue
63601,Facebook,mobile,iOS,1,299,0,NJ,,
62298,Unknown,mobile,iOS,1,299,0,NY,June,Sun
190684,Facebook,mobile,android,1,299,0,PA,April,Wed
220863,Facebook,mobile,other,1,299,0,NY,April,Sun
43027,Adwords,desktop,linux,1,299,0,PA,June,Wed
48430,Facebook,mobile,iOS,1,299,0,NJ,April,Thu
212391,Google,mobile,android,1,299,0,PA,April,Wed
76971,Google,mobile,iOS,1,299,0,NJ,April,Thu
58993,Google,mobile,other,1,299,0,PA,June,Sun
55502,Google,mobile,iOS,1,299,0,PA,June,Thu
207890,Adwords,mobile,iOS,1,299,0,PA,,
181212,Google,mobile,android,1,299,0,NY,April,Thu
129246,Bing,mobile,android,1,299,0,PA,April,Wed
208291,Facebook,mobile,iOS,1,299,0,NY,April,Fri
49086,Bing,mobile,android,1,299,0,PA,April,Sun
14338,Facebook,mobile,iOS,1,299,0,NJ,May,Tue
61023,Adwords,mobile,iOS,1,299,0,PA,April,Tue
191525,Unknown,mobile,iOS,1,299,0,PA,May,Mon
200252,Bing,mobile,android,1,299,0,PA,April,Mon
16077,Facebook,mobile,iOS,1,299,0,NY,May,Tue
31658,Google,mobile,iOS,1,299,0,PA,April,Tue
36631,Google,mobile,android,1,299,0,PA,April,Tue
165071,Adwords,mobile,android,1,299,0,PA,May,Thu
42047,Unknown,mobile,android,1,299,0,PA,,
161789,Bing,mobile,android,1,299,0,NY,June,Thu
134422,Unknown,mobile,iOS,1,299,0,NY,April,Tue
67782,Facebook,mobile,iOS,1,299,0,NY,April,Fri
131877,Google,mobile,android,1,299,0,PA,April,Mon
108628,Unknown,mobile,android,1,299,0,NY,June,Wed
107225,Facebook,mobile,iOS,1,299,0,PA,April,Fri
103453,Bing,mobile,android,1,299,0,NY,June,Mon
36265,Unknown,mobile,android,1,299,0,NY,June,Sun
114533,Google,mobile,iOS,1,299,0,NY,May,Wed
17025,Bing,mobile,iOS,1,299,0,NY,April,Sun
156926,Bing,mobile,android,1,299,0,NJ,May,Thu
51213,Facebook,mobile,android,1,299,0,NJ,June,Mon
93941,Unknown,mobile,other,1,299,0,NY,May,Tue
131677,Adwords,mobile,iOS,1,299,0,PA,April,Tue
601,Google,desktop,linux,1,299,0,NY,June,Thu
195593,Google,mobile,android,1,299,0,NJ,June,Mon
54935,Unknown,mobile,android,1,299,0,PA,June,Mon
20980,Unknown,mobile,android,1,299,0,NY,May,Sun
160160,Adwords,mobile,android,1,299,0,NY,May,Tue
15323,Google,mobile,iOS,1,299,0,NY,April,Sun
37716,Facebook,mobile,android,1,299,0,NY,,
124746,Facebook,mobile,iOS,1,299,0,NY,May,Mon
228818,Adwords,mobile,iOS,1,299,0,NY,May,Wed
71853,Google,desktop,windows,0,199,0,NY,April,Tue
216314,Google,desktop,windows,0,199,0,NY,May,Wed
119143,Facebook,desktop,windows,0,199,0,PA,May,Thu
129417,Unknown,desktop,windows,0,199,0,PA,April,Wed
209951,Unknown,desktop,windows,0,199,0,NY,June,Tue
201670,Adwords,desktop,windows,1,299,0,NJ,June,Thu
203045,Adwords,desktop,windows,0,199,0,NY,June,Thu
83234,Adwords,desktop,windows,1,299,0,NJ,May,Sun
79810,Unknown,desktop,windows,0,199,0,NY,April,Sun
70831,Unknown,desktop,windows,1,299,0,PA,June,Sun
82604,Adwords,desktop,windows,1,299,0,NY,June,Sun
140930,Facebook,desktop,windows,1,299,0,NY,April,Sun
196328,Other,desktop,windows,0,199,0,NY,April,Thu
81825,Facebook,desktop,windows,1,299,0,PA,April,Sun
74753,Unknown,desktop,windows,0,199,0,NY,April,Thu
139410,Adwords,desktop,windows,1,299,0,NJ,June,Mon
148135,Google,desktop,windows,0,199,0,NY,April,Wed
97404,Google,desktop,windows,0,199,0,NJ,May,Tue
191027,Unknown,desktop,windows,0,199,0,NJ,April,Sun
206763,Google,desktop,windows,0,199,0,NY,May,Wed
96923,Google,desktop,windows,0,199,0,PA,May,Mon
151430,Bing,desktop,windows,0,199,0,NY,June,Mon
40493,Facebook,desktop,windows,0,199,0,NJ,April,Sun
119204,Facebook,desktop,windows,0,199,0,NY,June,Fri
218829,Other,desktop,windows,0,199,0,NJ,May,Tue
1566,Google,desktop,windows,0,199,0,PA,April,Mon
126386,Facebook,desktop,windows,0,199,0,PA,May,Tue
169393,Facebook,desktop,windows,1,299,0,NJ,April,Tue
42877,Google,desktop,windows,1,299,0,NJ,June,Wed
120630,Unknown,desktop,windows,1,299,0,NY,May,Fri
101716,Google,desktop,windows,0,199,0,NJ,June,Mon
189769,Google,desktop,windows,0,199,0,NY,June,Thu
38138,Unknown,desktop,windows,0,199,0,NY,April,Sun
182171,Adwords,desktop,windows,1,299,0,PA,April,Thu
185425,Other,desktop,windows,0,199,0,NY,April,Thu
10191,Unknown,desktop,windows,0,199,0,PA,April,Mon
43174,Adwords,desktop,windows,0,199,0,NJ,May,Thu
191075,Unknown,desktop,windows,0,199,0,NJ,June,Wed
119364,Unknown,desktop,windows,0,199,0,PA,May,Mon
150871,Adwords,desktop,windows,1,299,0,NY,June,Wed
93908,Facebook,desktop,windows,0,199,0,PA,June,Fri
202796,Google,desktop,windows,0,199,0,NY,May,Wed
139347,Unknown,desktop,windows,0,199,0,NY,May,Mon
55407,Adwords,desktop,windows,1,299,0,NY,June,Sun
59392,Adwords,desktop,windows,0,199,0,PA,April,Fri
181113,Facebook,desktop,windows,0,199,0,NJ,June,Thu
90812,Unknown,desktop,windows,0,199,0,NJ,May,Sun
185371,Unknown,desktop,linux,0,199,0,PA,May,Thu
197993,Google,desktop,windows,0,199,0,NY,April,Mon
211753,Google,desktop,windows,0,199,0,PA,,
71184,Adwords,desktop,windows,1,299,0,NJ,June,Sun
176548,Adwords,desktop,windows,1,299,0,NJ,May,Mon
53796,Unknown,desktop,windows,0,199,0,PA,June,Wed
128497,Unknown,desktop,windows,0,199,0,PA,,
85966,Google,desktop,windows,0,199,0,PA,May,Wed
46747,Facebook,desktop,windows,0,199,0,PA,June,Fri
184127,Facebook,desktop,windows,0,199,0,NY,June,Fri
197301,Adwords,desktop,windows,1,299,0,PA,April,Tue
37904,Google,desktop,windows,0,199,0,NJ,May,Thu
56995,Adwords,desktop,windows,1,299,0,NJ,May,Mon
53137,Google,desktop,windows,0,199,0,NY,May,Sun
106,Google,desktop,windows,1,299,0,NJ,April,Sun
199122,Unknown,desktop,linux,0,199,0,PA,April,Thu
140065,Google,desktop,windows,1,299,0,PA,May,Thu
138705,Facebook,desktop,windows,0,199,0,PA,June,Thu
86436,Facebook,desktop,windows,0,199,0,NJ,June,Wed
56009,Adwords,desktop,linux,0,199,0,PA,May,Fri
186727,Google,desktop,windows,0,199,0,NY,May,Fri
110713,Google,desktop,windows,0,199,0,PA,April,Thu
201088,Facebook,desktop,windows,0,199,0,PA,April,Wed
146023,Google,desktop,windows,0,199,0,NJ,April,Wed
220058,Adwords,desktop,windows,0,199,0,NJ,April,Mon
156664,Bing,desktop,windows,1,299,0,PA,May,Mon
193530,Adwords,desktop,windows,0,199,0,PA,April,Wed
140019,Facebook,desktop,windows,0,199,0,NY,April,Sun
79570,Bing,desktop,windows,1,299,0,NY,May,Wed
183088,Facebook,desktop,windows,1,299,0,PA,April,Wed
1933,Facebook,desktop,windows,1,299,0,NJ,April,Sun
49763,Google,desktop,windows,0,199,0,PA,April,Fri
119536,Adwords,desktop,windows,0,199,0,NY,June,Thu
98889,Unknown,desktop,windows,0,199,0,NY,May,Wed
14442,Adwords,desktop,windows,0,199,0,PA,May,Thu
31843,Google,desktop,windows,0,199,0,PA,June,Tue
164758,Bing,desktop,windows,1,299,0,NY,June,Thu
69437,Google,desktop,windows,1,299,0,PA,June,Mon
20647,Google,desktop,windows,0,199,0,PA,,
165792,Bing,desktop,windows,1,299,0,NY,May,Mon
123401,Google,desktop,windows,0,199,0,NY,May,Mon
71401,Unknown,desktop,windows,1,299,0,NY,April,Mon
28209,Facebook,desktop,windows,0,199,0,PA,June,Thu
36516,Google,desktop,windows,0,199,0,NJ,April,Mon
168364,Google,desktop,windows,1,299,0,NY,June,Wed
124499,Unknown,desktop,windows,1,299,0,PA,May,Mon
12149,Adwords,desktop,windows,0,199,0,NY,April,Wed
45477,Google,desktop,windows,0,199,0,PA,April,Thu
132336,Adwords,desktop,windows,0,199,0,NJ,May,Thu
49253,Facebook,desktop,windows,0,199,0,NJ,April,Mon
134521,Facebook,desktop,windows,1,299,0,PA,April,Tue
146247,Adwords,desktop,windows,0,199,0,NJ,April,Mon
9670,Facebook,desktop,windows,0,199,0,NY,May,Fri
408,Adwords,mobile,android,1,299,0,NY,March,Thu
436,Unknown,mobile,android,0,199,0,NY,March,Thu
541,Google,mobile,android,0,199,0,NY,March,Thu
649,Google,desktop,windows,0,199,0,PA,March,Thu
694,Google,desktop,windows,0,199,0,PA,March,Thu
815,Google,desktop,mac,1,299,0,NJ,March,Thu
946,Unknown,mobile,android,1,299,0,PA,March,Thu
1710,Facebook,mobile,android,1,299,0,NY,March,Thu
1741,Google,desktop,mac,0,199,0,NY,March,Thu
1766,Facebook,mobile,android,0,199,0,NJ,March,Wed
1952,Facebook,desktop,windows,0,199,0,NY,March,Fri
2240,Adwords,desktop,windows,0,199,0,NY,March,Fri
2616,Facebook,mobile,android,0,199,0,NJ,March,Thu
2639,Facebook,mobile,android,0,199,0,NJ,March,Thu
2887,Google,mobile,iOS,0,199,1,NY,March,Fri
3111,Unknown,mobile,iOS,0,199,0,PA,March,Thu
3445,Unknown,desktop,windows,0,199,0,NJ,March,Fri
3486,Facebook,mobile,iOS,0,199,0,PA,March,Fri
4408,Bing,mobile,other,1,299,0,NY,March,Thu
4480,Facebook,desktop,mac,0,199,0,NJ,March,Fri
4521,Facebook,desktop,windows,0,199,0,NY,March,Fri
4919,Facebook,mobile,iOS,0,199,0,PA,March,Fri
5103,Google,mobile,android,0,199,0,NY,March,Fri
5480,Bing,mobile,iOS,0,199,0,PA,March,Fri
5705,Facebook,mobile,iOS,0,199,0,NY,March,Fri
5810,Facebook,mobile,iOS,0,199,0,PA,March,Thu
6438,Unknown,desktop,mac,0,199,0,NY,March,Fri
6613,Facebook,mobile,iOS,1,299,0,PA,March,Thu
6701,Google,desktop,windows,0,199,0,NY,March,Fri
6751,Adwords,mobile,iOS,0,199,0,NY,March,Fri
6970,Google,mobile,android,1,299,0,NJ,March,Fri
7485,Adwords,mobile,android,0,199,0,PA,March,Fri
7572,Facebook,desktop,windows,0,199,0,NY,March,Fri
7751,Facebook,mobile,android,0,199,0,NY,March,Fri
7974,Google,mobile,android,0,199,0,NY,March,Wed
8211,Google,mobile,other,0,199,0,NY,March,Fri
8928,Google,mobile,android,0,199,0,NY,March,Thu
8985,Google,mobile,android,1,299,0,NJ,March,Wed
8989,Adwords,desktop,windows,1,299,0,NY,March,Fri
8995,Unknown,mobile,iOS,0,199,0,PA,March,Fri
9032,Google,mobile,android,0,199,0,NJ,March,Wed
9404,Unknown,mobile,iOS,0,199,0,NY,March,Thu
9501,Adwords,mobile,iOS,1,299,1,PA,March,Wed
9557,Google,mobile,iOS,1,299,0,PA,March,Wed
9685,Adwords,mobile,iOS,0,199,0,NY,March,Wed
10034,Facebook,desktop,linux,0,199,0,NJ,March,Fri
10112,Google,mobile,iOS,0,199,0,NY,March,Fri
10186,Unknown,mobile,android,0,199,0,NJ,March,Wed
10298,Google,mobile,other,1,299,0,PA,March,Fri
10556,Unknown,desktop,windows,1,299,0,PA,March,Thu
10803,Unknown,mobile,iOS,0,199,0,NJ,March,Fri
10816,Facebook,mobile,other,1,299,0,NY,March,Fri
10933,Adwords,desktop,mac,0,199,0,PA,March,Fri
10939,Google,mobile,android,0,199,0,NY,March,Thu
11007,Google,mobile,iOS,0,199,0,PA,March,Thu
11415,Adwords,mobile,iOS,0,199,0,NY,March,Fri
12219,Facebook,mobile,iOS,1,299,0,NY,March,Fri
12338,Google,desktop,windows,0,199,0,NY,March,Fri
12437,Facebook,mobile,android,0,199,0,NY,March,Fri
12806,Google,mobile,android,0,199,0,PA,March,Thu
12816,Facebook,desktop,windows,1,299,0,PA,March,Fri
12921,Google,mobile,android,1,299,0,NY,March,Fri
12948,Adwords,desktop,windows,0,199,0,NJ,March,Fri
13715,Adwords,desktop,mac,0,199,0,PA,March,Fri
13966,Unknown,mobile,android,1,299,0,NJ,March,Fri
14065,Facebook,mobile,other,1,299,0,NY,March,Thu
14544,Google,mobile,android,1,299,0,NJ,March,Thu
14834,Facebook,mobile,iOS,0,199,0,NY,March,Fri
14889,Google,mobile,iOS,0,199,0,NJ,March,Fri
14920,Google,desktop,windows,0,199,0,PA,March,Fri
15135,Unknown,mobile,android,1,299,0,PA,March,Thu
15225,Adwords,mobile,iOS,1,299,0,NY,March,Thu
15399,Google,mobile,other,1,299,0,NJ,March,Fri
